time, x_true, y_true, vx_true, vy_true, x_est, y_est, vx_est, vy_est, x_meas, y_meas, sensor, nis
1477010443000000, 0.6000, 0.6000, 5.1999, 0.0000, 0.3122, 0.5803, 0.0000, 0.0000, 0.3122, 0.5803, L, 0.0000
1477010443050000, 0.8600, 0.6000, 5.1997, 0.0018, 0.5956, 0.5803, 5.8836, -0.0000, 0.8629, 0.5342, R, 198.8532
1477010443100000, 1.1200, 0.6002, 5.1994, 0.0054, 0.8960, 0.5379, 5.9187, -0.9824, 1.1738, 0.4811, L, 4.1874
1477010443150000, 1.3800, 0.6006, 5.1990, 0.0108, 1.1263, 0.4721, 5.6777, -1.2108, 0.9691, 0.3975, R, 1.0877
1477010443200000, 1.6399, 0.6013, 5.1984, 0.0180, 1.4425, 0.4512, 5.7671, -0.9545, 1.6506, 0.6247, L, 3.8805
1477010443250000, 1.8998, 0.6025, 5.1977, 0.0269, 1.7166, 0.4860, 5.6806, -0.4958, 1.6233, 0.4991, R, 2.0596
1477010443300000, 2.1597, 0.6041, 5.1968, 0.0377, 2.0279, 0.4929, 5.7262, -0.3289, 2.1888, 0.6487, L, 2.6498
1477010443350000, 2.4195, 0.6063, 5.1957, 0.0502, 2.2704, 0.5592, 5.4669, 0.1577, 1.9670, 0.5571, R, 5.4640
1477010443400000, 2.6793, 0.6092, 5.1945, 0.0646, 2.5587, 0.5873, 5.4817, 0.3312, 2.6553, 0.6660, L, 0.8221
1477010443450000, 2.9390, 0.6128, 5.1931, 0.0807, 2.8205, 0.6147, 5.3925, 0.4654, 2.9203, 0.6459, R, 0.5312
1477010443500000, 3.1987, 0.6173, 5.1915, 0.0985, 3.0773, 0.6406, 5.3596, 0.5860, 3.0122, 0.6370, L, 0.2216
1477010443550000, 3.4583, 0.6227, 5.1896, 0.1182, 3.3596, 0.5728, 5.3706, 0.1278, 3.5610, 0.4853, R, 3.0453
1477010443600000, 3.7177, 0.6291, 5.1875, 0.1396, 3.6737, 0.5022, 5.4430, -0.2955, 3.8937, 0.3118, L, 4.8755
1477010443650000, 3.9771, 0.6367, 5.1852, 0.1627, 3.9493, 0.5578, 5.4706, 0.0190, 4.1979, 0.6983, R, 1.9952
