time, x_true, y_true, vx_true, vy_true, x_est, y_est, vx_est, vy_est, x_meas, y_meas, sensor, nis
11477010443000000, 0.3600, 0.6000, -4.8003, 0.0017, 0.2018, 0.3860, 0.0000, 0.0000, 0.2018, 0.3860, R, 0.0000
11477010443050000, 0.1200, 0.6002, -4.8006, 0.0050, 0.2023, 0.3860, 0.0098, -0.0000, 0.2190, 0.6861, L, 4.0169
11477010443100000, -0.1200, 0.6006, -4.8010, 0.0100, -0.0610, 0.3860, -2.6271, -0.1391, -0.0814, 0.4979, R, 83.0943
11477010443150000, -0.3601, 0.6012, -4.8015, 0.0166, -0.1830, 0.4036, -2.6178, 0.4103, -0.3066, 0.5572, L, 1.9252
11477010443200000, -0.6002, 0.6023, -4.8022, 0.0249, -0.4491, 0.4535, -3.1764, 0.8892, -0.4232, 0.3822, R, 23.0289
11477010443250000, -0.8403, 0.6038, -4.8030, 0.0348, -0.6166, 0.5001, -3.1940, 0.9271, -0.9208, 0.4982, L, 4.2529
11477010443300000, -1.0804, 0.6058, -4.8038, 0.0464, -0.8311, 0.5062, -3.6616, 0.7358, -0.9992, 0.5691, R, 15.9474
11477010443350000, -1.3206, 0.6085, -4.8047, 0.0597, -1.0232, 0.5487, -3.6862, 0.7872, -1.2171, 0.5641, L, 1.7693
11477010443400000, -1.5608, 0.6118, -4.8057, 0.0747, -1.2357, 0.5611, -3.9006, 0.6653, -1.3158, 0.5655, R, 3.2795
11477010443450000, -1.8011, 0.6160, -4.8067, 0.0912, -1.4329, 0.5980, -3.9053, 0.6958, -1.4663, 0.6272, L, 0.0961
11477010443500000, -2.0415, 0.6210, -4.8078, 0.1095, -1.6724, 0.6009, -4.1763, 0.4912, -1.7631, 0.5870, R, 4.5711
11477010443550000, -2.2818, 0.6270, -4.8088, 0.1294, -1.9206, 0.6438, -4.2892, 0.4820, -2.2846, 0.7874, L, 7.5776
11477010443600000, -2.5222, 0.6340, -4.8099, 0.1509, -2.2067, 0.5447, -4.5401, -0.3976, -2.5020, 0.4664, R, 10.2013
